domain,pnas,populist,media_bias_fact_check,twitterfakenewslabel,opensource
weau.com,commercial broadcaster,,,,
newsweek.com,quality newspaper/magazine,,left,,
chicagotribune.com,quality newspaper/magazine,,right-center,,
nydailynews.com,tabloid newspaper,,leftcenter,,
wsj.com,quality newspaper/magazine,,right-center,,
theepochtimes.com,hyperpartisan media,,right,,
nymag.com,quality newspaper/magazine,,left,,
vox.com,digital-born news outlet,,left,,
cbc.ca,public broadcaster,,leftcenter,,
slate.com,digital-born news outlet,,left,,
fortune.com,quality newspaper/magazine,,right-center,,
fox8.com,commercial broadcaster,,,,
newser.com,digital-born news outlet,,leftcenter,,
abc7.com,commercial broadcaster,,,,
abc7chicago.com,commercial broadcaster,,,,
ndtv.com,commercial broadcaster,,leftcenter,,
miamiherald.com,quality newspaper/magazine,,leftcenter,,
cnn.it,commercial broadcaster,,,,
startribune.com,quality newspaper/magazine,,leftcenter,,
abc13.com,commercial broadcaster,,,,
fox59.com,commercial broadcaster,,,,
goodmorningamerica.com,commercial broadcaster,,,,
6abc.com,commercial broadcaster,,,,
theconversation.com,digital-born news outlet,,center,,
conservativebuzz.com,hyperpartisan media,,fake-news,,
newsday.com,quality newspaper/magazine,,leftcenter,green,
mercurynews.com,quality newspaper/magazine,,leftcenter,,
news12.com,commercial broadcaster,,,,
channel7breakingreport.live,commercial broadcaster,,,,
thefederalist.com,hyperpartisan media,,right,yellow,
dallasnews.com,quality newspaper/magazine,,right-center,green,
abcn.ws,commercial broadcaster,,,,
seattletimes.com,quality newspaper/magazine,,leftcenter,,
newsbreakapp.com,digital-born news outlet,,,,
abcactionnews.com,commercial broadcaster,,,,
local10.com,commercial broadcaster,,,,
abc7ny.com,commercial broadcaster,,,,
wxyz.com,commercial broadcaster,,,,
post-gazette.com,quality newspaper/magazine,,right-center,,
baltimoresun.com,quality newspaper/magazine,,leftcenter,,
oregonlive.com,quality newspaper/magazine,,right-center,,
10tv.com,commercial broadcaster,,,,
wsbtv.com,commercial broadcaster,,,,
orlandosentinel.com,quality newspaper/magazine,,leftcenter,,
realclearpolitics.com,digital-born news outlet,,right-center,,
daytondailynews.com,quality newspaper/magazine,,center,,
foxla.com,commercial broadcaster,,,,
abc15.com,commercial broadcaster,,,,
fox13news.com,commercial broadcaster,,,,
fox4kc.com,commercial broadcaster,,,,
insideedition.com,commercial broadcaster,,leftcenter,,
boston25news.com,commercial broadcaster,,,,
local12.com,commercial broadcaster,,,,
news5cleveland.com,commercial broadcaster,,,,
el-nacional.com,quality newspaper/magazine,,,,
abc.net.au,public broadcaster,,leftcenter,,
theperspective.com,digital-born news outlet,,,,
redstate.com,hyperpartisan media,,fake-news,yellow,political
fox2now.com,commercial broadcaster,,,,
salon.com,digital-born news outlet,,left,,
newspunch.com,hyperpartisan media,,fake-news,,
denverpost.com,quality newspaper/magazine,,leftcenter,,
newsok.com,quality newspaper/magazine,,,,
voanews.com,public broadcaster,,center,,
firstcoastnews.com,commercial broadcaster,,,,
fox6now.com,commercial broadcaster,,,,
fox13now.com,commercial broadcaster,,,,
sbs.com.au,public broadcaster,,leftcenter,,
splinternews.com,hyperpartisan media,,left,,
20minutes.fr,tabloid newspaper,,,,
20mn.fr,tabloid newspaper,,,,
24economia.com,digital-born news outlet,,,,
3sat.de,public broadcaster,public broadcaster,,,
abendblatt.de,quality newspaper/magazine,quality newspapers/magazines,,,
abendzeitung-muenchen.de,tabloid newspaper,tabloid newspaper ,,,
actu.fr,quality newspaper/magazine,,,,
actualites-la-croix.com,quality newspaper/magazine,,,,
actuall.com,hyperpartisan media,,,,
adnkronos.com,quality newspaper/magazine,,,,
affaritaliani.it,digital-born news outlet,,,,
agoravox.fr,digital-born news outlet,,,,
alertadigital.com,hyperpartisan media,,,,
anonymousnews.ru,hyperpartisan media,hyperpartisan news,,,
ansa.it,quality newspaper/magazine,,center,,
antena3.com,commercial broadcaster,,,,
ara.cat,quality newspaper/magazine,,,,
ard-text.de,public broadcaster,public broadcaster,,,
ard.de,public broadcaster,public broadcaster,,,
ardmediathek.de,public broadcaster,public broadcaster,,,
arte.tv,public broadcaster,public broadcaster,,,
atresplayer.com,commercial broadcaster,,,,
augsburger-allgemeine.de,quality newspaper/magazine,quality newspapers/magazines,,,
avvenire.it,quality newspaper/magazine,,,,
badische-zeitung.de,quality newspaper/magazine,quality newspapers/magazines,,,
bento.de,digital-born news outlet,online only media ,,,
bergamopost.it,quality newspaper/magazine,,,,
berliner-kurier.de,tabloid newspaper,tabloid newspaper ,,,
berliner-zeitung.de,quality newspaper/magazine,quality newspapers/magazines,,,
bfmtv.com,commercial broadcaster,,,,
bild.de,tabloid newspaper,tabloid newspaper ,,,
blick.ch,tabloid newspaper,tabloid newspaper ,,,
blick.de,tabloid newspaper,tabloid newspaper ,,,
bo.de,quality newspaper/magazine,quality newspapers/magazines,,,
br.de,public broadcaster,public broadcaster,,,
breaknotizie.com,digital-born news outlet,,,,
businessinsider.de,digital-born news outlet,online only media ,,,
bz-berlin.de,tabloid newspaper,tabloid newspaper ,,,
cadenaser.com,commercial broadcaster,,,,
caffeinamagazine.it,digital-born news outlet,,,,
canal-plus.com,commercial broadcaster,,,,
