domain,pnas,populist,media_bias_fact_check,twitterfakenewslabel,opensource
tageblatt.de,,quality newspapers/magazines,,,
donaukurier.de,,quality newspapers/magazines,,,
cicero.de,,quality newspapers/magazines,,,
hertener-allgemeine.de,,quality newspapers/magazines,,,
ln-online.de,,quality newspapers/magazines,,,
diepresse.com,,quality newspapers/magazines,,,
refcrime.info,,hyperpartisan news,,,
dnn.de,,quality newspapers/magazines,,,
dpa-news.de,,online only media ,,,
thueringer-allgemeine.de,,quality newspapers/magazines,,,
radiohochstift.de,,commercial broadcaster,,,
20min.ch,,quality newspapers/magazines,,,
rnz.de,,quality newspapers/magazines,,,
spiegel.tv,,commercial broadcaster,,,
nwzonline.de,,quality newspapers/magazines,,,
heidelberg24.de,,tabloid newspaper ,,,
kleinezeitung.at,,quality newspapers/magazines,,,
hallo-muenchen.de,,tabloid newspaper ,,,
bkz-online.de,,quality newspapers/magazines,,,
newyorker.com,,quality newspapers/magazines,left,,
moz.de,,quality newspapers/magazines,,,
rundschau-online.de,,quality newspapers/magazines,,,
ruhrnachrichten.de,,quality newspapers/magazines,,,
srf.ch,,public broadcaster,,,
news.at,,tabloid newspaper ,,,
saarbruecker-zeitung.de,,quality newspapers/magazines,,,
sn.at,,quality newspapers/magazines,,,
extratipp.com,,tabloid newspaper ,,,
watson.ch,,online only media ,,,
news38.de,,tabloid newspaper ,,,
rnf.de,,commercial broadcaster,,,
az-online.de,,quality newspapers/magazines,,,
tz-online.de,,tabloid newspaper ,,,
heute.at,,tabloid newspaper ,,,
hr-online.de,,public broadcaster,,,
aachener-zeitung.de,,quality newspapers/magazines,,,
hr3.de,,public broadcaster,,,
innsalzach24.de,,online only media ,,,
bergedorfer-zeitung.de,,quality newspapers/magazines,,,
neopresse.com,,hyperpartisan news,,,
n8waechter.info,,hyperpartisan news,,,
bgland24.de,,online only media ,,,
newsbreak24.de,,online only media ,,,
washingtonpress.com,,hyperpartisan news,left,,
sz-online.de,,quality newspapers/magazines,,,
aachener-nachrichten.de,,quality newspapers/magazines,,,
ntv.de,,commercial broadcaster,,,
kreiszeitung-wochenblatt.de,,quality newspapers/magazines,,,
reuters.tv,,online only media ,,,
szlz.de,,quality newspapers/magazines,,,
deutsche-wirtschafts-nachrichten.de,,hyperpartisan news,,,
echo24.de,,online only media ,,,
dortmund24.de,,online only media ,,,
volksverpetzer.de,,hyperpartisan news,,,
goettinger-tageblatt.de,,quality newspapers/magazines,,,
neuste.news,,online only media ,,,
a-beig.de,,quality newspapers/magazines,,,
bams.de,,tabloid newspaper ,,,
bsaktuell.de,,online only media ,,,
michael-mannheimer.net,,hyperpartisan news,,,
naanoo.de,,online only media ,,,
act.tv,,,left,,
addictinginfo.com,,,left,,
aftonbladet.se,,,left,,
akkadiantimes.com,,,left,,
aldianews.com,,,left,,
allthatsfab.com,,,left,,
afj.org,,,left,,
altnews.in,,,left,,
alternet.org,,,left,,political
aidc.org.za,,,left,,
americablog.com,,,left,,bias
americanbridgepac.org,,,left,,
anx.media,,,left,,
americanoversight.org,,,left,,
au.org,,,left,,
angrywhitemen.org,,,left,,
antifascistnews.net,,,left,,
autostraddle.com,,,left,,
backedbyfact.com,,,left,,
citypaper.com,,,left,,
ebar.com,,,left,,
themaven.net,,,left,,
bitchmedia.org,,,left,,
blackagendareport.com,,,left,,unreliable
blacklivesmatter.com,,,left,,
bluenationreview.com,,,left,,clickbait
bluestatedaily.com,,,left,,
boingboing.net,,,left,,
bostonreview.net,,,left,,
breitbartunmasked.com,,,left,,
bust.com,,,left,,
canadafactcheck.ca,,,left,,
canadiandimension.com,,,left,,
capitalandmain.com,,,left,,
carbonated.tv,,,left,,
care2.com,,,left,,
americanprogress.org,,,left,,political
prwatch.org,,,left,,
c4ss.org,,,left,,
certifiedpolitics.com,,,left,,
change.org,,,left,,
chicagoreader.com,,,left,,
chroniclesofdemocracy.com,,,left,,
citizencritics.org,,,left,,
codepink.org,,,left,,
columbusfreepress.com,,,left,,
comicsands.com,,,left,,
commondreams.org,,,left,,political
content.news,,,left,,
cosmopolitan.com,,,left,yellow,
countercurrents.org,,,left,,political
counterpunch.org,,,left,,political
crimethinc.com,,,left,,
crooked.com,,,left,,
crooksandliars.com,,,left,orange,
currentaffairs.org,,,left,,
curvemag.com,,,left,,
dailydems.com,,,left,,
dailydot.com,,,left,,
dailynewsbin.com,,,left,orange,bias
dailysoundandfury.com,,,left,,
dallasvoice.com,,,left,,
dctribune.org,,,left,,
deadstate.org,,,left,yellow,
deadspin.com,,,left,,
deepleftfield.info,,,left,,
deepstatenation.com,,,left,,
democracyguardian.com,,,left,,
democracynow.org,,,left,,
democraticunderground.com,,,left,,
deshabhimani.com,,,left,,
desmogblog.com,,,left,,
metrotimes.com,,,left,,
dieharddemocrat.com,,,left,,
dissentmagazine.org,,,left,,political
drudge.com,,,left,,
earthfirstjournal.org,,,left,,
economyincrisis.org,,,left,,
egbertowillies.com,,,left,,
electoral-vote.com,,,left,,
electronicintifada.net,,,left,,
elisabethparker.com,,,left,,
elitedaily.com,,,left,,
esquire.com,,,left,,
everydayfeminism.com,,,left,,
evonomics.com,,,left,,
extranewsfeed.com,,,left,,
feministcurrent.com,,,left,,
feministing.com,,,left,,
fifthestate.org,,,left,,
filmingcops.com,,,left,,
firstpost.com,,,left,,
foodandwaterwatch.org,,,left,,
foreignpolicyjournal.com,,,left,,political
foreignpolicynews.org,,,left,,
forwardprogressives.com,,,left,,
freepress.org,,,left,,
frnewsreport.com,,,left,,
ffrf.org,,,left,,
freedomnews.org.uk,,,left,,
frontpagelive.com,,,left,,
freespeech.org,,,left,,
gizmodo.com,,,left,,
globalvoices.org,,,left,,
globetoday.com,,,left,,
good.is,,,left,,
gopocalypse.org,,,left,,
gq.com,,,left,,
bradford-delong.com,,,left,,
greenleft.org.au,,,left,,
greenvillegazette.com,,,left,black,
gritpost.com,,,left,,
groopspeak.com,,,left,,
guardianlv.com,,,left,,political
theguardiansofdemocracy.com,,,left,,
haaretz.com,,,left,,
happy-foxie.com,,,left,,
hillreporter.com,,,left,,
hrc.org,,,left,,
impeachdjtnow.com,,,left,,
marxist.com,,,left,,
inthesetimes.com,,,left,,
ir.net,,,left,,
inequalitymedia.org,,,left,,
juancole.com,,,left,,
ips-dc.org,,,left,,
internationalviewpoint.org,,,left,,
intrepidreport.com,,,left,,bias
iowastartingline.com,,,left,,
itsgoingdown.org,,,left,,
jacobinmag.com,,,left,,political
jezebel.com,,,left,,
latest.com,,,left,,
lavendermagazine.com,,,left,,
leftaction.com,,,left,,
leftfootforward.org,,,left,,
leftoverrights.com,,,left,,
leftsideofhistory.com,,,left,,
leftvoice.org,,,left,,
leftwingnation.org,,,left,,
leftscoop.com,,,left,,
lgbtqnation.com,,,left,,
libcom.org,,,left,,
liberalamerica.life,,,left,,
liberalexaminer.com,,,left,,
samuel-warde.com,,,left,,
liberationnews.org,,,left,,
littlegreenfootballs.com,,,left,,
loveknowledge.org,,,left,,
mashable.com,,,left,,
meanlefthook.com,,,left,,bias
mediamatters.org,,,left,,
mediaite.com,,,left,,
meduza.io,,,left,,
merryjane.com,,,left,,
miaminewtimes.com,,,left,,
middleeastmonitor.com,,,left,,
modernliberals.com,,,left,,
molad.org,,,left,,
mondoweiss.net,,,left,,
moonofalabama.org,,,left,,bias
msmagazine.com,,,left,,
nap-sack.org,,,left,,
nationofchange.org,,,left,,
newint.org,,,left,,
newpol.org,,,left,,
newrepublic.com,,,left,,
newstatesman.com,,,left,,
amsterdamnews.com,,,left,,
newscorpse.com,,,left,,political
newshounds.us,,,left,,
newslogue.com,,,left,,bias
newsone.com,,,left,,
north99.org,,,left,,
nova-magazine.net,,,left,,
nowtoronto.com,,,left,,
occupy.com,,,left,,
onegreenplanet.org,,,left,,
opednews.com,,,left,,
ourvoiceny.com,,,left,,
out.com,,,left,,
palmerreport.com,,,left,orange,bias
pastemagazine.com,,,left,,
peacock-panache.com,,,left,,
pfaw.org,,,left,,
people.com,,,left,,
photographyisnotacrime.com,,,left,,
pinknews.co.uk,,,left,,
politicaldig.com,,,left,,
politicalupdater.com,,,left,,
politicususa.com,,,left,,clickbait
politizoom.com,,,left,,
popular.info,,,left,,
popularresistance.org,,,left,,
pravdareport.com,,,left,,bias
pressprogress.ca,,,left,,
progressivearmy.com,,,left,,
progressiveliberal.net,,,left,,
projectcensored.org,,,left,,
proudemocrat.com,,,left,,political
putintrump.org,,,left,,
queerty.com,,,left,,
rabble.ca,,,left,,
rantt.com,,,left,,
rappler.com,,,left,,
rawprogressive.com,,,left,,
rawstory.com,,,left,,political
readersupportednews.org,,,left,,
readingthepictures.org,,,left,,
therealnews.com,,,left,,
redpepper.org.uk,,,left,,
redstatedisaster.com,,,left,,
redyouth.org,,,left,,
republicanssucks.org,,,left,,
republicreport.org,,,left,,
resilience.org,,,left,,
revcom.us,,,left,,
reverepress.com,,,left,,
revolution-news.com,,,left,,
rewire.news,,,left,,
rightwingwatch.org,,,left,,
trofire.com,,,left,,
rollingstone.com,,,left,,
scarymommy.com,,,left,,
shadowproof.com,,,left,,
shareblue.com,,,left,,unreliable
smirkingchimp.com,,,left,,
worldsocialism.org,,,left,,
socialistworker.org,,,left,,
sourcepolitics.com,,,left,,
sourcewatch.org,,,left,,
splcenter.org,,,left,,
cnntimes.online,,,left,,
stpete4peace.org,,,left,,
syriana-analysis.com,,,left,,
takepart.com,,,left,,
talkingpointsmemo.com,,,left,green,
teenvogue.com,,,left,,
telesurtv.net,,,left,,
advocate.com,,,left,,political
americanindependent.com,,,left,,
prospect.org,,,left,,
austinchronicle.com,,,left,,
theblueroute.org,,,left,,
theburningspear.com,,,left,,
thecanary.co,,,left,,
climaterealityproject.org,,,left,,
daily49er.com,,,left,,
thedailybanter.com,,,left,,
the-daily.buzz,,,left,,
thedailyvox.co.za,,,left,,
democratichub.com,,,left,,
thedodo.com,,,left,,
dworkinreport.com,,,left,,
theestablishment.co,,,left,,
thefloridasqueeze.com,,,left,,
thefrisky.com,,,left,,
theimproper.com,,,left,,
indypendent.org,,,left,,
mavenroundtable.io,,,center,,
thelily.com,,,left,,
thelondoneconomic.com,,,left,,
themarysue.com,,,left,,
themilitant.com,,,left,,
morningstaronline.co.uk,,,left,,
thenation.com,,,left,,
nationalmemo.com,,,left,,
thenewcivilrightsmovement.com,,,left,,
theoutline.com,,,left,,
palestinechronicle.com,,,left,,
progressive.org,,,left,,
progressivefrontier.com,,,left,,
samefacts.com,,,left,,
theroot.com,,,left,,
thelasource.com,,,left,,
thesternfacts.com,,,left,,
texasobserver.org,,,left,,
villagevoice.com,,,left,,
thewalrus.ca,,,left,,
theweek.com,,,left,,
worldcantwait.net,,,left,,
thegrio.com,,,left,,
theoswatch.com,,,left,,
thinkprogress.org,,,left,,political
this.org,,,left,,
towleroad.com,,,left,,
tribunemagazine.org,,,left,,
truthagainstthemachine.com,,,left,,
truthdig.com,,,left,,
truthout.org,,,left,,
uproxx.com,,,left,,
upworthy.com,,,left,,
theuspoliticalpost.com,,,left,,
usuncut.com,,,left,orange,clickbait
vanityfair.com,,,left,,
verifiedpolitics.com,,,left,,
vermontindependent.org,,,left,,
verrit.com,,,left,,
viraltitle.com,,,left,,
wallstreetonparade.com,,,left,,
washingtondailywire.com,,,left,,
washingtonmonthly.com,,,leftcenter,,
washingtonsources.org,,,left,,
washingtonian.com,,,left,,
wearyourvoicemag.com,,,left,,
whatmattersnews.com,,,left,,
whitehousewatch.com,,,left,,
whowhatwhy.org,,,left,,conspiracy
wonkette.com,,,left,,
workers.org,,,left,,
yesmagazine.org,,,left,,
tytnetwork.com,,,left,,
yourblackworld.net,,,left,,
zcomm.org,,,left,,
deathandtaxesmag.com,,,left,,
democracychronicles.org,,,left,,
reverbpress.news,,,left,,
seventeen.com,,,left,,
thefingnews.com,,,left,,
wsws.org,,,left,,
972mag.com,,,leftcenter,,
abc11.com,,,leftcenter,,
abovethelaw.com,,,leftcenter,,
aclu.org,,,leftcenter,,
aeon.co,,,leftcenter,,
affinitymagazine.us,,,leftcenter,,
africanarguments.org,,,leftcenter,,
al-monitor.com,,,leftcenter,,
alhayat.com,,,leftcenter,,
almasdarnews.com,,,leftcenter,,
al-sura.com,,,leftcenter,,
guttmacher.org,,,leftcenter,,
adn.com,,,leftcenter,,
timesunion.com,,,leftcenter,,
albertaviews.ca,,,leftcenter,,
allgov.com,,,leftcenter,,
alliedprogress.org,,,leftcenter,,
amny.com,,,leftcenter,,
americamagazine.org,,,leftcenter,,
americanimmigrationcouncil.org,,,leftcenter,,
amnesty.org,,,leftcenter,,
annistonstar.com,,,leftcenter,,
adl.org,,,leftcenter,,
aol.com,,,leftcenter,,
apmreports.org,,,leftcenter,,
aranews.net,,,leftcenter,,
areomagazine.com,,,leftcenter,,
tucson.com,,,leftcenter,,
azdailysun.com,,,leftcenter,,
azcentral.com,,,leftcenter,,
arktimes.com,,,leftcenter,,
armscontrol.org,,,leftcenter,,
citizen-times.com,,,leftcenter,,
asiasentinel.com,,,leftcenter,,
asiancorrespondent.com,,,leftcenter,,
atavist.com,,,leftcenter,,
atlantablackstar.com,,,leftcenter,,
ajc.com,,,leftcenter,,
atlanticmedia.com,,,leftcenter,,
attn.com,,,leftcenter,,political
statesman.com,,,leftcenter,,
axios.com,,,leftcenter,,
backchannel.com,,,leftcenter,,
balkaninsight.com,,,leftcenter,,
bangordailynews.com,,,leftcenter,,
baptistnews.com,,,leftcenter,,political
battlecreekenquirer.com,,,leftcenter,,
bjreview.com,,,leftcenter,,
berkeleyside.com,,,leftcenter,,
berkshireeagle.com,,,leftcenter,,
billmoyers.com,,,leftcenter,,
birminghammail.co.uk,,,leftcenter,,
blastingnews.com,,,leftcenter,,
bluestemprairie.com,,,leftcenter,,
bgr.com,,,leftcenter,,
bramptonguardian.com,,,leftcenter,,
brennancenter.org,,,leftcenter,,
brookings.edu,,,leftcenter,,
buffalonews.com,,,leftcenter,,
bustle.com,,,leftcenter,,
calgaryherald.com,,,leftcenter,,
calwatchdog.com,,,leftcenter,,
canadalandshow.com,,,leftcenter,,
capitalgazette.com,,,leftcenter,,
caribbeanlifenews.com,,,leftcenter,,
carolinapublicpress.org,,,leftcenter,,
catchnews.com,,,leftcenter,,
cctv-america.com,,,leftcenter,,
centerforinquiry.org,,,leftcenter,,
ciponline.org,,,leftcenter,,
populardemocracy.org,,,leftcenter,,
cbpp.org,,,leftcenter,,
wvgazettemail.com,,,leftcenter,,
charlotteobserver.com,,,leftcenter,,
timesfreepress.com,,,leftcenter,,
cheddar.com,,,leftcenter,,
chicagoreporter.com,,,leftcenter,,
cgtn.com,,,leftcenter,,
citizentruth.org,,,leftcenter,,
legitgov.org,,,leftcenter,,
citizensforethics.org,,,leftcenter,,
ctj.org,,,leftcenter,,
cleantechnica.com,,,leftcenter,,
cjr.org,,,leftcenter,,
colombiareports.com,,,leftcenter,,
investigaterussia.org,,,leftcenter,,
commoncause.org,,,leftcenter,,
commonwealmagazine.org,,,leftcenter,,
commonwealthfund.org,,,leftcenter,,
ctpost.com,,,leftcenter,,
consortiumnews.com,,,leftcenter,,reliable
corporatepresidency.org,,,leftcenter,,
caller.com,,,leftcenter,,
councilforthenationalinterest.org,,,leftcenter,,
credoaction.com,,,leftcenter,,
crosscut.com,,,leftcenter,,
ctmirror.org,,,leftcenter,,
gazettenet.com,,,leftcenter,,
dawn.com,,,leftcenter,,
dcreport.org,,,leftcenter,,
deadline.com,,,leftcenter,,
deccanherald.com,,,leftcenter,,
delawareonline.com,,,leftcenter,,
democracy21.org,,,leftcenter,,
demos.org,,,leftcenter,,
freep.com,,,leftcenter,,
digg.com,,,leftcenter,,
diply.com,,,leftcenter,,
diversityinc.com,,,leftcenter,,
dutchdailynews.com,,,leftcenter,,
dutchreview.com,,,leftcenter,,
earthjustice.org,,,leftcenter,,
eastbaytimes.com,,,leftcenter,,
econofact.org,,,leftcenter,,
epi.org,,,leftcenter,,
economicshelp.org,,,leftcenter,,
egyptianstreets.com,,,leftcenter,,
elpasotimes.com,,,leftcenter,,
eff.org,,,leftcenter,,
emirates247.com,,,leftcenter,,
emptywheel.net,,,leftcenter,,
engadget.com,,,leftcenter,,
ew.com,,,leftcenter,,
euobserver.com,,,leftcenter,,
euractiv.com,,,leftcenter,,
exposingtruth.com,,,leftcenter,,
factmyth.com,,,leftcenter,,
factbox.tv,,,leftcenter,,
fair.org,,,leftcenter,,
fairvote.org,,,leftcenter,,
fastcompany.com,,,leftcenter,,
feministfrequency.com,,,leftcenter,,
thefifthcolumnnews.com,,,leftcenter,,political
fightforthefuture.org,,,leftcenter,,
fpif.org,,,leftcenter,,
fwweekly.com,,,leftcenter,,
freakonomics.com,,,leftcenter,,
fresnobee.com,,,leftcenter,,
fusion.net,,,leftcenter,,political
gaystarnews.com,,,leftcenter,,
geopoliticsalert.com,,,leftcenter,,
glamour.com,,,leftcenter,,
globalcitizen.org,,,leftcenter,,
globalnews.ca,,,leftcenter,,
pri.org,,,leftcenter,,
globalrealnews.com,,,leftcenter,,
globalriskinsights.com,,,leftcenter,,
globaltimes.cn,,,leftcenter,,
governing.com,,,leftcenter,,
greensboro.com,,,leftcenter,,
greentechmedia.com,,,leftcenter,,
grist.org,,,leftcenter,,
gunviolencearchive.org,,,leftcenter,,
harpers.org,,,leftcenter,,
courant.com,,,leftcenter,,
healthyway.com,,,leftcenter,,
heavy.com,,,leftcenter,,
helsinkitimes.fi,,,leftcenter,,
hcn.org,,,leftcenter,,
hindustantimes.com,,,leftcenter,,
historynewsnetwork.org,,,leftcenter,,
hollywoodreporter.com,,,leftcenter,,
staradvertiser.com,,,leftcenter,,
hrw.org,,,leftcenter,,
humanium.org,,,leftcenter,,
hurriyetdailynews.com,,,leftcenter,,
icenews.is,,,leftcenter,,
ifamericaknew.org,,,leftcenter,,
independentaustralia.net,,,leftcenter,,
indymedia.org,,,leftcenter,,
indystar.com,,,leftcenter,,
inquisitr.com,,,leftcenter,orange,
insidehighered.com,,,leftcenter,,
insidephilanthropy.com,,,leftcenter,,
insideclimatenews.org,,,leftcenter,,
imeu.org,,,leftcenter,,
itep.org,,,leftcenter,,
ibtimes.com,,,leftcenter,,
icrw.org,,,leftcenter,,
crisisgroup.org,,,leftcenter,,
interpretermag.com,,,leftcenter,,
inverse.com,,,leftcenter,,
ipolitics.ca,,,leftcenter,,
irinnews.org,,,leftcenter,,
jacksonfreepress.com,,,leftcenter,,
jihadica.com,,,leftcenter,,
jointcenter.org,,,leftcenter,,
helvidius.org,,,leftcenter,,
kansascity.com,,,leftcenter,,
kmov.com,,,leftcenter,,
knightfoundation.org,,,leftcenter,,
koco.com,,,leftcenter,,
kotaku.com,,,leftcenter,,
kuow.org,,,leftcenter,,
kurdistan24.net,,,leftcenter,,
lasvegassun.com,,,leftcenter,,
latintimes.com,,,leftcenter,,
leftjustified.com,,,leftcenter,,
lethbridgeherald.com,,,leftcenter,,
kentucky.com,,,leftcenter,,
liberalmountain.com,,,leftcenter,,
lifehacker.com,,,leftcenter,,
liveleak.com,,,leftcenter,,
mainebeacon.com,,,leftcenter,,
mainichi.jp,,,leftcenter,,
malaysiakini.com,,,leftcenter,,
mcclatchydc.com,,,leftcenter,,
mediafiledc.com,,,leftcenter,,
medium.com,,,leftcenter,,
metro.us,,,leftcenter,,
mexiconewsdaily.com,,,leftcenter,,
mic.com,,,leftcenter,,
migrationpolicy.org,,,leftcenter,,
jsonline.com,,,leftcenter,,
mprnews.org,,,leftcenter,,
minnpost.com,,,leftcenter,,
mintpressnews.com,,,leftcenter,,political
mongabay.com,,,leftcenter,,
monthlyreview.org,,,leftcenter,,
montrealgazette.com,,,leftcenter,,
themoscowtimes.com,,,leftcenter,,
mnn.com,,,leftcenter,,
mothership.sg,,,leftcenter,,
mtdemocrat.com,,,leftcenter,,
msn.com,,,leftcenter,green,
muncievoice.com,,,leftcenter,,
mwcnews.net,,,leftcenter,,
nakedcapitalism.com,,,leftcenter,,political
naplesnews.com,,,leftcenter,,
naacp.org,,,leftcenter,,
transequality.org,,,leftcenter,,
natmonitor.com,,,leftcenter,,
nationalnewswatch.com,,,leftcenter,,
nationalobserver.com,,,leftcenter,,
youthrights.org,,,leftcenter,,
resourcegovernance.org,,,leftcenter,,
nrdc.org,,,leftcenter,,
nature.org,,,leftcenter,,
ncpolicywatch.com,,,leftcenter,,
necn.com,,,leftcenter,,
neweurope.eu,,,leftcenter,,
newleftreview.org,,,leftcenter,,
newmatilda.com,,,leftcenter,,
newmoderate.com,,,leftcenter,,
newsandguts.com,,,leftcenter,,
kfor.com,,,leftcenter,,
newsdeeply.com,,,leftcenter,,
newsgru.com,,,leftcenter,,
newsy.com,,,leftcenter,,
ocweekly.com,,,leftcenter,,
oilandwaterdontmix.org,,,leftcenter,,
oneindia.com,,,leftcenter,,
opendemocracy.net,,,leftcenter,,
opposingviews.com,,,leftcenter,,
ourworldindata.org,,,leftcenter,,
outsidethebeltway.com,,,leftcenter,,
ozy.com,,,leftcenter,,
psmag.com,,,leftcenter,,
panampost.com,,,leftcenter,,
patrioticmillionaires.org,,,leftcenter,,
philly.com,,,leftcenter,,
inquirer.net,,,leftcenter,,
phoenixnewtimes.com,,,leftcenter,,
politicalcritique.org,,,leftcenter,,
politicsthatwork.com,,,leftcenter,,
populationconnection.org,,,leftcenter,,
pressherald.com,,,leftcenter,,
pamplinmedia.com,,,leftcenter,,
positive.news,,,leftcenter,,
presstv.com,,,leftcenter,,bias
propublica.org,,,leftcenter,,
prospectmagazine.co.uk,,,leftcenter,,
providencejournal.com,,,leftcenter,,
citizen.org,,,leftcenter,,
qz.com,,,leftcenter,,
rfa.org,,,leftcenter,,
newsobserver.com,,,leftcenter,,
rationalwiki.org,,,leftcenter,,
religionnews.com,,,leftcenter,,
rgj.com,,,leftcenter,,
revealnews.org,,,leftcenter,,
irc-online.org,,,leftcenter,,
roanoke.com,,,leftcenter,,
rooseveltinstitute.org,,,leftcenter,,
rudaw.net,,,leftcenter,,
sacbee.com,,,leftcenter,,
sltrib.com,,,leftcenter,,
mysanantonio.com,,,leftcenter,,
sandiegofreepress.org,,,leftcenter,,
sandiegoreader.com,,,leftcenter,,
sfchronicle.com,,,leftcenter,,
sfexaminer.com,,,leftcenter,,
sfglobe.com,,,leftcenter,,
independent.com,,,leftcenter,,
sapiens.org,,,leftcenter,,
saudigazette.com.sa,,,leftcenter,,
scoopwhoop.com,,,leftcenter,,
scroll.in,,,leftcenter,,
seattlepi.com,,,leftcenter,,
secondnexus.com,,,leftcenter,,
sentencingproject.org,,,leftcenter,,
shameproject.com,,,leftcenter,,
sojo.net,,,leftcenter,,
sootoday.com,,,leftcenter,,
scmp.com,,,leftcenter,,
stltoday.com,,,leftcenter,,
twincities.com,,,leftcenter,,
nj.com,,,leftcenter,,
silive.com,,,leftcenter,,
stepfeed.com,,,leftcenter,,
stocksnewsdaily.com,,,leftcenter,,
stopfake.org,,,leftcenter,,
stuff.co.nz,,,leftcenter,,
swissinfo.ch,,,leftcenter,,
syriahr.com,,,leftcenter,,
tabletmag.com,,,leftcenter,,
tampabay.com,,,leftcenter,,
tarbell.org,,,leftcenter,,
taxjustice.net,,,leftcenter,,
taxpolicycenter.org,,,leftcenter,,
techcrunch.com,,,leftcenter,,
techdirt.com,,,leftcenter,,
texasmonthly.com,,,leftcenter,,
texastribune.org,,,leftcenter,,
theage.com.au,,,leftcenter,,
asahi.com,,,leftcenter,,
app.com,,,leftcenter,,
theautomaticearth.com,,,leftcenter,,
thebaffler.com,,,leftcenter,,
thebipartisanpress.com,,,leftcenter,,
brownsvilleherald.com,,,leftcenter,,
budapestbeacon.com,,,leftcenter,,
cepr.net,,,leftcenter,,
tcf.org,,,leftcenter,,
thechristianleft.org,,,leftcenter,,
thecitizen.org.au,,,leftcenter,,
canadians.org,,,leftcenter,,
courier-journal.com,,,leftcenter,,
dailyclimate.org,,,leftcenter,,
dailyhive.com,,,leftcenter,,
dailytarheel.com,,,leftcenter,,
ecfr.eu,,,leftcenter,,
lehighvalleylive.com,,,leftcenter,,
forward.com,,,leftcenter,,
readfrontier.org,,,leftcenter,,
heraldnet.com,,,leftcenter,,
thehilltalk.com,,,leftcenter,,
thehindu.com,,,leftcenter,,
theintercept.com,,,leftcenter,,political
irishtimes.com,,,leftcenter,,
irrawaddy.com,,,leftcenter,,
lohud.com,,,leftcenter,,
koreatimes.co.kr,,,leftcenter,,
thelocal.no,,,leftcenter,,
themoderatevoice.com,,,leftcenter,,
themonthly.com.au,,,leftcenter,,
nationinstitute.org,,,leftcenter,,
alaraby.co.uk,,,leftcenter,,
thenewtropic.com,,,leftcenter,,
thenewstribune.com,,,leftcenter,,
newstimes.com,,,leftcenter,,
thenextweb.com,,,leftcenter,,
theodysseyonline.com,,,leftcenter,,
theolympian.com,,,leftcenter,,
theoslotimes.com,,,leftcenter,,
palmbeachpost.com,,,leftcenter,,
pennlive.com,,,leftcenter,,
cleveland.com,,,leftcenter,,
pressdemocrat.com,,,leftcenter,,
pulsegulfcoast.com,,,leftcenter,,
northjersey.com,,,leftcenter,,
theringer.com,,,leftcenter,,
santafenewmexican.com,,,leftcenter,,
thesaturdaypaper.com.au,,,leftcenter,,
theskimm.com,,,leftcenter,,
thestate.com,,,leftcenter,,
statepress.com,,,leftcenter,,
thestranger.com,,,leftcenter,,
thesunmagazine.org,,,leftcenter,,
smh.com.au,,,leftcenter,,
thetab.com,,,leftcenter,,
thetrace.org,,,leftcenter,,
thetyee.ca,,,leftcenter,,
thevarsity.ca,,,leftcenter,,
theverge.com,,,leftcenter,,
pilotonline.com,,,leftcenter,,
theweek.co.uk,,,leftcenter,,
wilderness.org,,,leftcenter,,
thewire.in,,,leftcenter,,
thisisthezerohour.com,,,leftcenter,,
thewrap.com,,,leftcenter,,
trust.org,,,leftcenter,,
thrillist.com,,,leftcenter,,
timeline.com,,,leftcenter,,
timescolonist.com,,,leftcenter,,
timesheadline.com,,,leftcenter,,
nola.com,,,leftcenter,,
tmz.com,,,leftcenter,yellow,
toinformistoinfluence.com,,,leftcenter,,
tomdispatch.com,,,leftcenter,,
thestar.com,,,leftcenter,,
uawire.org,,,leftcenter,,
unicornriot.ninja,,,leftcenter,,
uft.org,,,leftcenter,,
universitybusiness.com,,,leftcenter,,
urban.org,,,leftcenter,,
upr.org,,,leftcenter,,
uticaod.com,,,leftcenter,,
virginiamercury.com,,,leftcenter,,
votevets.org,,,leftcenter,,
vulture.com,,,leftcenter,,
washingtonblade.com,,,leftcenter,,
wgntv.com,,,leftcenter,,
wikileaks.org,,,leftcenter,,unreliable
wingsoverscotland.com,,,leftcenter,,
wnyc.org,,,leftcenter,,
worldaffairsjournal.org,,,leftcenter,,
worldpolicy.org,,,leftcenter,,
worldcrunch.com,,,leftcenter,,
wsvn.com,,,leftcenter,,
news.cn,,,leftcenter,,
yahoo.com,,,leftcenter,green,
yale.edu,,,leftcenter,,
ynetnews.com,,,leftcenter,,
ydr.com,,,leftcenter,,
yorkdispatch.com,,,leftcenter,,
youthradio.org,,,leftcenter,,
americanpublicmedia.org,,,leftcenter,,
westword.com,,,leftcenter,,
health.com,,,leftcenter,,
houstonchronicle.com,,,leftcenter,,
chron.com,,,leftcenter,,
lawandcrime.com,,,leftcenter,,
kyivpost.com,,,leftcenter,,
phillytrib.com,,,leftcenter,,
38north.org,,,center,,
680news.com,,,center,,
abs-cbn.com,,,center,,
adfontesmedia.com,,,center,,
adweek.com,,,center,,
africacheck.org,,,center,,
africanews.com,,,center,,
afp.com,,,center,green,
agerpres.ro,,,center,,
ahram.org.eg,,,center,,
airforcetimes.com,,,center,,
airwars.org,,,center,,
alarabiya.net,,,center,,
albawaba.com,,,center,,
majalla.com,,,center,,
alreporter.com,,,center,,
altoday.com,,,center,,
